Deeply Under Construction.

row     status      agegrp      cond        duration
----------------------------------------------------
  4682  recovered   age0_19     55|81      
  4717  recovered   age0_19     59|79|117  
  4782  recovered   age0_19     68|80      
  4824  recovered   age0_19     56|70      
  4828  recovered   age0_19     46|64      
  4830  recovered   age0_19     64|90      
  4831  recovered   age0_19     66|79      
  4857  recovered   age0_19     47|64      
  4880  recovered   age0_19     47|70      
  4926  recovered   age0_19     50|67      
  4952  recovered   age0_19     59|89      
  4980  recovered   age0_19     55|65      
  5041  recovered   age0_19     60|77      
  5042  recovered   age0_19     65|78      
  5063  recovered   age0_19     65|93      
  5115  recovered   age0_19     59|85      
  5119  recovered   age0_19     75|111     
  5155  recovered   age0_19     48|60      
  5200  recovered   age0_19     52|71      
  5206  recovered   age0_19     77|91      
  5212  recovered   age0_19     73|89      
  5215  recovered   age0_19     51|72      
  5216  recovered   age0_19     59|79      
  5244  recovered   age0_19     55|67      
  5305  recovered   age0_19     46|92      
  5311  recovered   age0_19     48|78      
  5394  recovered   age0_19     46|67      
  5440  recovered   age0_19     55|71|88   
  5441  recovered   age0_19     54|75      
  5471  recovered   age0_19     56|65      
  5479  recovered   age0_19     60|92      
  5516  recovered   age0_19     60|70      
  5525  recovered   age0_19     62|112     
  5605  recovered   age0_19     51|74      
  5682  recovered   age0_19     57|69      
  5691  recovered   age0_19     42|55      
  5727  recovered   age0_19     56|77      
  5729  recovered   age0_19     59|68      
  5737  recovered   age0_19     46|58      
  5766  recovered   age0_19     61|77      
  5820  recovered   age0_19     66|80      
  5896  recovered   age0_19     46|62      
  5899  recovered   age0_19     49|63      
  5918  recovered   age0_19     53|73      
  5920  recovered   age0_19     62|71      
  5933  recovered   age0_19     48|70      
  5938  recovered   age0_19     67|85      
  5957  recovered   age0_19     52|69      
  5994  recovered   age0_19     66|79      
  6003  recovered   age0_19     76|102     
  6023  recovered   age0_19     67|81      
  6070  recovered   age0_19     40|69      
  6071  recovered   age0_19     74|83      
  6144  recovered   age0_19     37|75      
  6156  recovered   age0_19     34|56|65   
  6159  recovered   age0_19     47|107     
  6193  recovered   age0_19     62|75      
  6201  recovered   age0_19     49|67      
  6209  recovered   age0_19     57|82      
  6224  recovered   age0_19     65|74      
  6239  recovered   age0_19     58|80      
  6269  recovered   age0_19     68|94      
  6299  recovered   age0_19     60|79      
  6326  recovered   age0_19     87|97      
  6344  recovered   age0_19     58|68      
  6352  recovered   age0_19     68|94      
  6379  recovered   age0_19     65|82      
  6430  recovered   age0_19     55|72      
  6439  recovered   age0_19     39|59      
  6496  recovered   age0_19     63|74      
  6504  recovered   age0_19     56|85      
  6506  recovered   age0_19     54|72      
  6507  recovered   age0_19     44|63      
